Spices and Herbs,Condiments and Oils,Plants,"Grains, Nuts and Derivatives",Plant Products,Protein and Animal Related Products,Dairy,Others
bay leaf,apple cider vinegar,apple,all-purpose flour,almond extract,bacon,butter,active dry yeast
cajun seasoning,Asian chili sauce,avocado,almond,apricot jam,beef stew meet,buttermilk,baking powder
caraway seed,balsamic vinegar,banana,bread flour,black olive,beef stock,cream cheese,baking soda
cardamom,brown sugar,bean sprouts,cake flour,canned black beans,chicken breast,crumbled feta cheese,
cayenne pepper,canola oil,bok choy,corn tortillas,canned chickpeas,chicken broth,evaporated milk,
chili powder,chicken bouillon,broccoli,couscous,canned diced green chilie peppers,chicken stock,ghee,
cinnamon stick,chile paste,cabbage,dry bread crumbs,canned tomatos,egg,grated parmesan cheese,
crushed red pepper,confectioners' sugar,carrot,masa harina,chipotle peppers in adobo sauce,egg white,grated Permesan cheese,
cumin seed,Dijon mustard,celery,peanut,chocolate chip,egg yolk,heavy whipping cream,
curry leaf,extra virgin olive oil,cherry tomato,peanut butter,coconut milk,ground beef,milk,
curry powder,fish sauce,collard greens,pecan,cornstarch,ground pork,plain yogurt,
dried basil,frying oil,cucumber,pie crust,crushed tomato,honey,ricotta cheese,
dried oregano,golden syrup,eggplant,red lentil,diced tomato,lamb,shortening,
dried parsley,Harissa,fresh corn kernel,rice noddles,dried apricot,lard,shredded cheddar cheese,
dried thyme,hoisin sauce,fresh green bean,rolled oat,flaked coconut,pork shoulder,shredded monterey jack cheese,
dry mustard,hot sauce,fresh mushroom,self-rising flour,frozen pea,salmon fillet,shredded mozzarella cheese,
five spice powder,ketchup,green bell pepper,semonlina flour,lemon juice,shrimp,sour cream,
fresh basil,kosher salt,green chile pepper,sesame seed,lime juice,whole chicken,sweetened condensed milk,
fresh cliantro,light soy sauce,habanero pepper,walnut,orange blossom water,,unsalted butter,
fresh dill,maple syrup,jalapeno pepper,white rice,orange juice,,,
fresh ginger root,margarine,leek,wonton wrappers,plantain,,,
fresh mint,mayonnaise,lemon,,rainsin,,,
fresh parseley,mirin,lemon grass,,salsa,,,
fresh rosemary,molasses,lemon zest,,sauerkraut,,,
fresh thyme,olive oil,lime,   ,tomato paste,,,
garam masala,oyster sauce,mango,,tomato sauce,,,
garlic powder,peanut oil,onion,,unsweetened cocoa powder,,,
garlic salt,red wine,orange zest,,vanilla extract,,,
gralic,red wine vinegar,poblano chilie peppers,,vegetable broth,,,
green onion,rice vinegar,potato,,,,,
ground allspice,rice wine,red bell pepper,,,,,
ground black pepper,rum,red chile pepper,,,,,
ground cardamom,sake,red onion,,,,,
ground cinnamon,seasame oil,Roma (plum) tomato,,,,,
ground clove,soy sause,romaine lettuce,,,,,
ground coriander,vegetable oil,serrano pepper,,,,,
ground cumin,white sugar,shallot,,,,,
ground ginger,white vinegar,shredded lettuce,,,,,
ground nutmeg,white wine,snowpea,,,,,
ground tumeric,worcestershire sauce,spinach,,,,,
mustard seed,yellow mustard,strawberry,,,,,
onion powder,,sweet onion,,,,,
paprika,,sweet potato,,,,,
ras el hanout,,tomatillo,,,,,
red chile powder,,tomato,,,,,
saffron,,water chestnut,,,,,
seasoned salt,,white onion,,,,,
white pepper,,zucchini,,,,,
whole clove,,,,,,,
