_ - _ - recipe_id,_ - _ - ingredients - _ - ing_id,_ - _ - ingredients - _ - ing_name,cat
68532,6494,chicken breast,animal
68532,6305,vegetable oil,condiment
68532,16391,curry powder,spice
68532,4397,onion,plant
68532,4342,garlic,spice
68532,3795,coconut milk,plantproduct
68532,1526,white sugar,condiment
86230,3686,ketchup,condiment
86230,2882,soy sauce,condiment
86230,1636,cornstarch,plantproduct
86230,1502,honey,animal
86230,20244,red pepper flakes,spice
86230,16397,ground ginger,spice
86230,6305,vegetable oil,condiment
86230,4405,green onion,spice
86230,4342,garlic,spice
45736,16158,plain yogurt,dairy
45736,5107,lemon juice,plantproduct
45736,20551,ground cumin,spice
45736,16386,ground cinnamon,spice
45736,16407,cayenne pepper,spice
45736,16406,ground black pepper,spice
45736,4343,fresh ginger root,spice
45736,6494,chicken breast,animal
45736,16157,butter,dairy
45736,4342,garlic,spice
45736,3725,jalapeno pepper,plant
45736,20551,ground cumin,spice
45736,16404,paprika,spice
45736,3717,fresh cilantro,spice
71722,6305,vegetable oil,condiment
71722,4397,onion,plant
71722,5595,hoisin sauce,condiment
71722,4342,garlic,spice
71722,2882,soy sauce,condiment
71722,18868,rice vinegar,condiment
71722,4607,water chestnut,plant
71722,4405,green onion,spice
14565,1526,white sugar,condiment
14565,16278,milk,dairy
14565,16317,egg,animal
14565,4342,garlic,spice
14565,16157,butter,dairy
16954,16317,egg,animal
16954,16157,butter,dairy
16954,6379,vegetable oil,condiment
16954,4397,onion,plant
16954,1651,white rice,grain
16954,2882,soy sauce,condiment
16954,16406,ground black pepper,spice
61024,5107,lemon juice,plantproduct
61024,18868,rice vinegar,condiment
61024,2882,soy sauce,condiment
61024,1525,brown sugar,condiment
61024,4343,fresh ginger root,spice
61024,4342,garlic,spice
61024,4405,green onion,spice
61024,20244,red pepper flakes,spice
61024,1636,cornstarch,plantproduct
61024,6494,chicken breast,animal
61024,1684,all-purpose flour,grain
61024,16406,ground black pepper,spice
61024,6307,olive oil,condiment
13087,4397,onion,plant
13087,4292,celery,plant
13087,4279,carrot,plant
13087,16157,butter,dairy
13087,1684,all-purpose flour,grain
13087,16391,curry powder,spice
13087,16133,chicken broth,animal
13087,1650,white rice,grain
13087,6494,chicken breast,animal
13087,16406,ground black pepper,spice
60598,6305,vegetable oil,condiment
60598,4397,onion,plant
60598,4343,fresh ginger root,spice
60598,4342,garlic,spice
60598,4442,potato,plant
60598,4279,carrot,plant
60598,3725,jalapeno pepper,plant
60598,16391,curry powder,spice
60598,4421,frozen pea,plantproduct
60598,4432,red bell pepper,plant
60598,4786,red bell pepper,plant
60598,3717,fresh cilantro,spice
11835,4343,fresh ginger root,spice
11835,2882,soy sauce,condiment
11835,2858,peanut butter,grain
11835,1502,honey,animal
11835,20287,chile paste,condiment
11835,4342,garlic,spice
11835,4405,green onion,spice
11835,2940,peanuts,grain
23312,16317,egg,animal
23312,1684,all-purpose flour,grain
23312,16157,butter,dairy
23312,2882,soy sauce,condiment
23312,1526,white sugar,condiment
23312,7842,white vinegar,condiment
23312,16396,garlic powder,spice
79543,1650,white rice,grain
79543,4421,frozen pea,plantproduct
79543,6305,vegetable oil,condiment
79543,16317,egg,animal
79543,2882,soy sauce,condiment
79543,6309,sesame oil,condiment
9027,6494,chicken breast,animal
9027,2882,soy sauce,condiment
9027,6309,sesame oil,condiment
9027,20287,chile paste,condiment
9027,7842,white vinegar,condiment
9027,1525,brown sugar,condiment
9027,4405,green onion,spice
9027,4342,garlic,spice
9027,4607,water chestnut,plant
9027,2940,peanuts,grain
46822,6307,olive oil,condiment
46822,4397,onion,plant
46822,4342,garlic,spice
46822,16391,curry powder,spice
46822,16386,ground cinnamon,spice
46822,16404,paprika,spice
46822,16380,bay leaf,spice
46822,4343,fresh ginger root,spice
46822,1526,white sugar,condiment
46822,6494,chicken breast,animal
46822,16158,plain yogurt,dairy
46822,3795,coconut milk,plantproduct
46822,16407,cayenne pepper,spice
15679,2882,soy sauce,condiment
15679,8336,rice wine,condiment
15679,1525,brown sugar,condiment
15679,1636,cornstarch,plantproduct
15679,6379,vegetable oil,condiment
15679,4343,fresh ginger root,spice
15679,4342,garlic,spice
15679,4412,snow pea,plant
18327,3752,sesame seed,grain
18327,6305,vegetable oil,condiment
18327,2958,light soy sauce,condiment
18327,18868,rice vinegar,condiment
18327,6309,sesame oil,condiment
18327,1526,white sugar,condiment
18327,16397,ground ginger,spice
18327,16406,ground black pepper,spice
18327,3717,fresh cilantro,spice
18327,4405,green onion,spice
16641,4397,onion,plant
16641,6379,vegetable oil,condiment
16641,16391,curry powder,spice
16641,16418,ground turmeric,spice
16641,20551,ground cumin,spice
16641,16385,chili powder,spice
16641,1526,white sugar,condiment
