recipe_id,ing_id,ing_name,cat,continent
45827,4442,potato,plant,AUS
45827,6307,olive oil,condiment,AUS
45827,4397,onion,plant,AUS
45827,4582,tomato sauce,plantproduct,AUS
45827,7428,Worcestershire sauce,condiment,AUS
45827,16157,butter,dairy,AUS
45827,1684,all-purpose flour,grain,AUS
45827,16278,milk,dairy,AUS
45827,16157,butter,dairy,AUS
23954,16317,egg,animal,AUS
23954,2882,soy sauce,condiment,AUS
23954,4397,onion,plant,AUS
23954,6305,vegetable oil,condiment,AUS
23954,4279,carrot,plant,AUS
23954,4335,cucumber,plant,AUS
98223,1684,all-purpose flour,grain,AUS
98223,1636,cornstarch,plantproduct,AUS
11758,4397,onion,plant,AUS
11758,16261,sour cream,dairy,AUS
11758,16234,shredded Mozzarella cheese,dairy,AUS
11758,16238,grated parmesan cheese,dairy,AUS
49552,6305,vegetable oil,condiment,AUS
49552,4397,onion,plant,AUS
49552,4342,garlic,spice,AUS
49552,23274,vegetable broth,plantproduct,AUS
49552,20551,ground cumin,spice,AUS
49552,16407,cayenne pepper,spice,AUS
49552,3717,fresh cilantro,spice,AUS
8665,6494,chicken breast,animal,AUS
8665,16406,ground black pepper,spice,AUS
8665,6307,olive oil,condiment,AUS
8665,4397,onion,plant,AUS
8665,18930,balsamic vinegar,condiment,AUS
8665,16403,dried oregano,spice,AUS
8665,16417,dried thyme,spice,AUS
26692,5233,strawberry,plant,AUS
26692,1526,white sugar,condiment,AUS
26692,1525,brown sugar,condiment,AUS
67952,6307,olive oil,condiment,AUS
67952,16406,ground black pepper,spice,AUS
13651,4397,onion,plant,AUS
13651,4292,celery,plant,AUS
13651,16417,dried thyme,spice,AUS
13651,4409,fresh parsley,spice,AUS
24202,4442,potato,plant,AUS
24202,16157,butter,dairy,AUS
24202,4397,onion,plant,AUS
24202,16215,shredded Cheddar cheese,dairy,AUS
24202,4279,carrot,plant,AUS
24202,6305,vegetable oil,condiment,AUS
24202,4397,onion,plant,AUS
24202,1684,all-purpose flour,grain,AUS
24202,3686,ketchup,condiment,AUS
24202,16215,shredded Cheddar cheese,dairy,AUS
54675,4342,garlic,spice,AUS
54675,6307,olive oil,condiment,AUS
54675,16238,grated parmesan cheese,dairy,AUS
54675,4409,fresh parsley,spice,AUS
33474,4342,garlic,spice,AUS
33474,16234,shredded Mozzarella cheese,dairy,AUS
33474,16238,grated parmesan cheese,dairy,AUS
33474,16223,cream cheese,dairy,AUS
69538,16238,grated parmesan cheese,dairy,AUS
69538,6294,mayonnaise,condiment,AUS
69538,6494,chicken breast,animal,AUS
14276,3752,sesame seed,grain,AUS
14276,1526,white sugar,condiment,AUS
14276,6307,olive oil,condiment,AUS
14276,7842,white vinegar,condiment,AUS
14276,16404,paprika,spice,AUS
14276,7428,Worcestershire sauce,condiment,AUS
14276,4397,onion,plant,AUS
14276,4516,spinach,plant,AUS
14276,5233,strawberry,plant,AUS
13954,6305,vegetable oil,condiment,AUS
13954,4397,onion,plant,AUS
13954,4342,garlic,spice,AUS
13954,20551,ground cumin,spice,AUS
13954,16407,cayenne pepper,spice,AUS
13954,2882,soy sauce,condiment,AUS
13954,16215,shredded Cheddar cheese,dairy,AUS
25371,6494,chicken breast,animal,AUS
25371,5112,lime juice,plantproduct,AUS
25371,1526,white sugar,condiment,AUS
25371,16406,ground black pepper,spice,AUS
25371,4405,green onion,spice,AUS
25371,4342,garlic,spice,AUS
25371,16403,dried oregano,spice,AUS
25371,4572,tomato,plant,AUS
71722,6305,vegetable oil,condiment,AUS
71722,4397,onion,plant,AUS
71722,4342,garlic,spice,AUS
71722,2882,soy sauce,condiment,AUS
71722,18868,rice vinegar,condiment,AUS
71722,4405,green onion,spice,AUS
22302,6305,vegetable oil,condiment,AUS
22302,4397,onion,plant,AUS
22302,4342,garlic,spice,AUS
22302,20551,ground cumin,spice,AUS
22302,16403,dried oregano,spice,AUS
22302,16407,cayenne pepper,spice,AUS
22302,16133,chicken broth,animal,AUS
11853,16157,butter,dairy,AUS
11853,16133,chicken broth,animal,AUS
11853,16238,grated parmesan cheese,dairy,AUS
11853,16159,fresh basil,spice,AUS
11853,16159,fresh basil,spice,AUS
14132,23274,vegetable broth,plantproduct,AUS
14132,20551,ground cumin,spice,AUS
14132,16261,sour cream,dairy,AUS
14132,4405,green onion,spice,AUS
17753,16317,egg,animal,AUS
17753,1684,all-purpose flour,grain,AUS
17753,2356,baking powder,other,AUS
17753,1684,all-purpose flour,grain,AUS
17753,3788,flaked coconut,plantproduct,AUS
17753,20482,frying oil,condiment,AUS
61024,5140,orange juice,plantproduct,AUS
61024,5107,lemon juice,plantproduct,AUS
61024,18868,rice vinegar,condiment,AUS
61024,2882,soy sauce,condiment,AUS
61024,1525,brown sugar,condiment,AUS
61024,4343,fresh ginger root,spice,AUS
61024,4342,garlic,spice,AUS
61024,4405,green onion,spice,AUS
61024,20244,crushed red pepper,spice,AUS
61024,1636,cornstarch,plantproduct,AUS
61024,6494,chicken breast,animal,AUS
61024,1684,all-purpose flour,grain,AUS
61024,16406,ground black pepper,spice,AUS
61024,6307,olive oil,condiment,AUS
43655,16157,butter,dairy,AUS
43655,4397,onion,plant,AUS
43655,4279,carrot,plant,AUS
43655,4292,celery,plant,AUS
43655,16423,fresh thyme,spice,AUS
43655,16380,bay leaf,spice,AUS
43655,3474,white wine,condiment,AUS
14745,1502,honey,animal,AUS
14745,16157,butter,dairy,AUS
25309,4335,cucumber,plant,AUS
25309,6294,mayonnaise,condiment,AUS
25309,4397,onion,plant,AUS
25309,4409,fresh parsley,spice,AUS
25309,4342,garlic,spice,AUS
25309,16317,egg,animal,AUS
25309,20551,ground cumin,spice,AUS
25309,16406,ground black pepper,spice,AUS
25309,16407,cayenne pepper,spice,AUS
25309,5107,lemon juice,plantproduct,AUS
25309,6307,olive oil,condiment,AUS
25309,2112,dry bread crumbs,grain,AUS
25309,20482,frying oil,condiment,AUS
25309,4572,tomato,plant,AUS
39544,4572,tomato,plant,AUS
39544,4397,onion,plant,AUS
39544,16133,chicken broth,animal,AUS
39544,16157,butter,dairy,AUS
39544,1684,all-purpose flour,grain,AUS
39544,1526,white sugar,condiment,AUS
24833,16133,chicken broth,animal,AUS
24833,9725,extra-virgin olive oil,condiment,AUS
24833,5112,lime juice,plantproduct,AUS
24833,20551,ground cumin,spice,AUS
24833,4405,green onion,spice,AUS
24833,4786,red bell pepper,plant,AUS
24833,3717,fresh cilantro,spice,AUS
26661,1650,white rice,grain,AUS
26661,4267,cabbage,plant,AUS
26661,4397,onion,plant,AUS
26661,16317,egg,animal,AUS
26661,16406,ground black pepper,spice,AUS
11808,16157,butter,dairy,AUS
11808,16258,heavy whipping cream,dairy,AUS
11808,16406,ground black pepper,spice,AUS
11808,16238,grated parmesan cheese,dairy,AUS
8842,6307,olive oil,condiment,AUS
8842,4397,onion,plant,AUS
8842,4342,garlic,spice,AUS
8842,4572,tomato,plant,AUS
8842,16159,fresh basil,spice,AUS
8842,16238,grated parmesan cheese,dairy,AUS
15679,2882,soy sauce,condiment,AUS
15679,1525,brown sugar,condiment,AUS
15679,1636,cornstarch,plantproduct,AUS
15679,6305,vegetable oil,condiment,AUS
15679,4343,fresh ginger root,spice,AUS
15679,4342,garlic,spice,AUS
18327,3752,sesame seed,grain,AUS
18327,6305,vegetable oil,condiment,AUS
18327,18868,rice vinegar,condiment,AUS
18327,6309,sesame oil,condiment,AUS
18327,1526,white sugar,condiment,AUS
18327,16397,ground ginger,spice,AUS
18327,16406,ground black pepper,spice,AUS
18327,3717,fresh cilantro,spice,AUS
18327,4405,green onion,spice,AUS
68380,6305,vegetable oil,condiment,AUS
68380,6494,chicken breast,animal,AUS
68380,16223,cream cheese,dairy,AUS
68380,16215,shredded Cheddar cheese,dairy,AUS
68380,16278,milk,dairy,AUS
68380,4342,garlic,spice,AUS
68380,16157,butter,dairy,AUS
68380,5107,lemon juice,plantproduct,AUS
68380,16404,paprika,spice,AUS
19591,6307,olive oil,condiment,AUS
19591,4397,onion,plant,AUS
19591,4342,garlic,spice,AUS
19591,4572,tomato,plant,AUS
19591,4378,fresh mushroom,plant,AUS
19591,4516,spinach,plant,AUS
19591,20244,crushed red pepper,spice,AUS
19591,16225,crumbled feta cheese,dairy,AUS
98390,6057,rolled oat,grain,AUS
98390,3767,almond,grain,AUS
98390,3819,walnut,grain,AUS
98390,1525,brown sugar,condiment,AUS
98390,1502,honey,animal,AUS
98390,6305,vegetable oil,condiment,AUS
98390,16386,ground cinnamon,spice,AUS
98390,16424,vanilla extract,plantproduct,AUS
13384,4397,onion,plant,AUS
13384,16406,ground black pepper,spice,AUS
13384,4292,celery,plant,AUS
13384,4279,carrot,plant,AUS
13384,4442,potato,plant,AUS
80773,16157,butter,dairy,AUS
80773,4279,carrot,plant,AUS
80773,16133,chicken broth,animal,AUS
80773,16406,ground black pepper,spice,AUS
80773,4442,potato,plant,AUS
80773,4378,fresh mushroom,plant,AUS
80773,1684,all-purpose flour,grain,AUS
13525,6307,olive oil,condiment,AUS
13525,4342,garlic,spice,AUS
13525,16429,fresh rosemary,spice,AUS
13525,16159,fresh basil,spice,AUS
13525,16406,ground black pepper,spice,AUS
45641,4342,garlic,spice,AUS
45641,16429,fresh rosemary,spice,AUS
45641,16406,ground black pepper,spice,AUS
45641,6307,olive oil,condiment,AUS
45641,16406,ground black pepper,spice,AUS
45641,6307,olive oil,condiment,AUS
45641,18873,Dijon mustard,condiment,AUS
8700,16157,butter,dairy,AUS
8700,4342,garlic,spice,AUS
8700,4397,onion,plant,AUS
8700,4292,celery,plant,AUS
8700,4279,carrot,plant,AUS
8700,1684,all-purpose flour,grain,AUS
8700,1526,white sugar,condiment,AUS
8700,16406,ground black pepper,spice,AUS
8700,16133,chicken broth,animal,AUS
8700,16278,milk,dairy,AUS
13693,16157,butter,dairy,AUS
13693,4397,onion,plant,AUS
13693,4292,celery,plant,AUS
53733,16417,dried thyme,spice,AUS
53733,16406,ground black pepper,spice,AUS
53733,16157,butter,dairy,AUS
53733,6307,olive oil,condiment,AUS
53733,5140,orange juice,plantproduct,AUS
53733,16423,fresh thyme,spice,AUS
14811,16223,cream cheese,dairy,AUS
14811,6294,mayonnaise,condiment,AUS
14811,4335,cucumber,plant,AUS
11959,4397,onion,plant,AUS
11959,4342,garlic,spice,AUS
11959,4582,tomato sauce,plantproduct,AUS
11959,16403,dried oregano,spice,AUS
11959,16238,grated parmesan cheese,dairy,AUS
11959,16234,shredded Mozzarella cheese,dairy,AUS
19125,6307,olive oil,condiment,AUS
19125,4342,garlic,spice,AUS
19125,6494,chicken breast,animal,AUS
19125,16404,paprika,spice,AUS
19125,1525,brown sugar,condiment,AUS
25922,6307,olive oil,condiment,AUS
25922,5107,lemon juice,plantproduct,AUS
25922,4572,tomato,plant,AUS
25922,4335,cucumber,plant,AUS
25922,4405,green onion,spice,AUS
25922,4279,carrot,plant,AUS
25922,4409,fresh parsley,spice,AUS
60616,4237,fresh green bean,plant,AUS
60616,16157,butter,dairy,AUS
60616,1526,white sugar,condiment,AUS
60616,16406,ground black pepper,spice,AUS
60616,16159,fresh basil,spice,AUS
60616,10895,cherry tomato,plant,AUS
25300,6307,olive oil,condiment,AUS
25300,4397,onion,plant,AUS
25300,4342,garlic,spice,AUS
25300,16317,egg,animal,AUS
25300,16157,butter,dairy,AUS
25300,1684,all-purpose flour,grain,AUS
25300,4409,fresh parsley,spice,AUS
25300,16159,fresh basil,spice,AUS
25300,16238,grated parmesan cheese,dairy,AUS
15427,4397,onion,plant,AUS
15427,16429,fresh rosemary,spice,AUS
12816,16157,butter,dairy,AUS
12816,4397,onion,plant,AUS
12816,4342,garlic,spice,AUS
12816,4409,fresh parsley,spice,AUS
12816,16133,chicken broth,animal,AUS
12816,16380,bay leaf,spice,AUS
12816,16417,dried thyme,spice,AUS
12816,16403,dried oregano,spice,AUS
12816,3474,white wine,condiment,AUS
89452,4529,zucchini,plant,AUS
89452,16406,ground black pepper,spice,AUS
89452,16238,grated parmesan cheese,dairy,AUS
89452,16318,egg white,animal,AUS
57002,18873,Dijon mustard,condiment,AUS
57002,6305,vegetable oil,condiment,AUS
57002,16157,butter,dairy,AUS
57002,4663,shallot,plant,AUS
57002,18873,Dijon mustard,condiment,AUS
57002,16258,heavy whipping cream,dairy,AUS
8546,6494,chicken breast,animal,AUS
8546,16215,shredded Cheddar cheese,dairy,AUS
8546,16157,butter,dairy,AUS
8546,3474,white wine,condiment,AUS
8546,1636,cornstarch,plantproduct,AUS
8546,4409,fresh parsley,spice,AUS
12906,6494,chicken breast,animal,AUS
12906,16396,garlic powder,spice,AUS
12906,20551,ground cumin,spice,AUS
12906,16406,ground black pepper,spice,AUS
42067,16317,egg,animal,AUS
42067,4397,onion,plant,AUS
42067,4342,garlic,spice,AUS
42067,6307,olive oil,condiment,AUS
25690,6307,olive oil,condiment,AUS
25690,4397,onion,plant,AUS
25690,4342,garlic,spice,AUS
25690,4582,tomato sauce,plantproduct,AUS
25690,16403,dried oregano,spice,AUS
25690,16238,grated parmesan cheese,dairy,AUS
58645,16157,butter,dairy,AUS
58645,6307,olive oil,condiment,AUS
58645,16238,grated parmesan cheese,dairy,AUS
17971,4397,onion,plant,AUS
17971,4343,fresh ginger root,spice,AUS
17971,4279,carrot,plant,AUS
17971,16407,cayenne pepper,spice,AUS
17971,3717,fresh cilantro,spice,AUS
45688,4405,green onion,spice,AUS
45688,2882,soy sauce,condiment,AUS
45688,1525,brown sugar,condiment,AUS
45688,16391,curry powder,spice,AUS
45688,4343,fresh ginger root,spice,AUS
45688,4378,fresh mushroom,plant,AUS
45688,16159,fresh basil,spice,AUS
87438,6307,olive oil,condiment,AUS
87438,4397,onion,plant,AUS
87438,16406,ground black pepper,spice,AUS
87438,16396,garlic powder,spice,AUS
87438,4342,garlic,spice,AUS
87438,18930,balsamic vinegar,condiment,AUS
87438,16225,crumbled feta cheese,dairy,AUS
8709,16396,garlic powder,spice,AUS
8709,16406,ground black pepper,spice,AUS
8709,5106,lemon,plant,AUS
8709,6307,olive oil,condiment,AUS
18870,1502,honey,animal,AUS
18870,18873,Dijon mustard,condiment,AUS
18870,16429,fresh rosemary,spice,AUS
18870,16406,ground black pepper,spice,AUS
18870,5110,lemon zest,plant,AUS
18870,4342,garlic,spice,AUS
11789,6307,olive oil,condiment,AUS
11789,4342,garlic,spice,AUS
11789,20244,crushed red pepper,spice,AUS
11789,4409,fresh parsley,spice,AUS
14184,18930,balsamic vinegar,condiment,AUS
14184,6305,vegetable oil,condiment,AUS
14184,1526,white sugar,condiment,AUS
14184,16406,ground black pepper,spice,AUS
14184,20551,ground cumin,spice,AUS
14184,3717,fresh cilantro,spice,AUS
24239,16159,fresh basil,spice,AUS
24239,18860,fresh mint,spice,AUS
24239,3717,fresh cilantro,spice,AUS
24239,5112,lime juice,plantproduct,AUS
24239,4342,garlic,spice,AUS
24239,1526,white sugar,condiment,AUS
35440,16157,butter,dairy,AUS
35440,1684,all-purpose flour,grain,AUS
35440,16133,chicken broth,animal,AUS
35440,4342,garlic,spice,AUS
35440,20551,ground cumin,spice,AUS
35440,20482,frying oil,condiment,AUS
35440,16215,shredded Cheddar cheese,dairy,AUS
35440,16258,heavy whipping cream,dairy,AUS
35440,4405,green onion,spice,AUS
35440,10895,cherry tomato,plant,AUS
24712,1636,cornstarch,plantproduct,AUS
24712,4342,garlic,spice,AUS
24712,4343,fresh ginger root,spice,AUS
24712,6305,vegetable oil,condiment,AUS
24712,4252,broccoli,plant,AUS
24712,4279,carrot,plant,AUS
24712,4237,fresh green bean,plant,AUS
24712,2882,soy sauce,condiment,AUS
24712,4397,onion,plant,AUS
29940,16157,butter,dairy,AUS
29940,4397,onion,plant,AUS
29940,4342,garlic,spice,AUS
29940,23274,vegetable broth,plantproduct,AUS
13517,6307,olive oil,condiment,AUS
13517,16404,paprika,spice,AUS
12732,16157,butter,dairy,AUS
12732,4397,onion,plant,AUS
12732,4378,fresh mushroom,plant,AUS
12732,4292,celery,plant,AUS
12732,4442,potato,plant,AUS
12732,1684,all-purpose flour,grain,AUS
12732,16406,ground black pepper,spice,AUS
