recipe_id,ing_id,ing_name,cat,continent
216814,1650,white rice,grain,LAT
216814,16317,egg,animal,LAT
216814,4442,potato,plant,LAT
216814,20482,frying oil,condiment,LAT
216814,4572,tomato,plant,LAT
216814,6305,vegetable oil,condiment,LAT
216814,4397,onion,plant,LAT
216814,4342,garlic,spice,LAT
216814,20551,ground cumin,spice,LAT
216814,16406,ground black pepper,spice,LAT
216814,4279,carrot,plant,LAT
216814,3717,fresh cilantro,spice,LAT
216814,4572,tomato,plant,LAT
216814,3686,ketchup,condiment,LAT
46653,16385,chili powder,spice,LAT
46653,16396,garlic powder,spice,LAT
46653,20244,crushed red pepper,spice,LAT
46653,16403,dried oregano,spice,LAT
46653,16404,paprika,spice,LAT
46653,20551,ground cumin,spice,LAT
46653,16406,ground black pepper,spice,LAT
49552,6305,vegetable oil,condiment,LAT
49552,4397,onion,plant,LAT
49552,4342,garlic,spice,LAT
49552,20551,ground cumin,spice,LAT
49552,16407,cayenne pepper,spice,LAT
49552,2779,canned black beans,plantproduct,LAT
49552,3717,fresh cilantro,spice,LAT
27072,6305,vegetable oil,condiment,LAT
27072,1650,white rice,grain,LAT
27072,20551,ground cumin,spice,LAT
27072,4397,onion,plant,LAT
27072,4582,tomato sauce,plantproduct,LAT
27072,16133,chicken broth,animal,LAT
53729,1684,all-purpose flour,grain,LAT
53729,1636,cornstarch,plantproduct,LAT
53729,2356,baking powder,other,LAT
53729,16317,egg,animal,LAT
53729,5111,lime,plant,LAT
53729,3725,jalapeno pepper,plant,LAT
53729,16403,dried oregano,spice,LAT
53729,20551,ground cumin,spice,LAT
53729,16407,cayenne pepper,spice,LAT
53729,20482,frying oil,condiment,LAT
53729,2351,corn tortilla,grain,LAT
53729,4267,cabbage,plant,LAT
25371,6494,chicken breast,animal,LAT
25371,5112,lime juice,plantproduct,LAT
25371,1526,white sugar,condiment,LAT
25371,16406,ground black pepper,spice,LAT
25371,4405,green onion,spice,LAT
25371,4342,garlic,spice,LAT
25371,16403,dried oregano,spice,LAT
25371,4572,tomato,plant,LAT
25371,4372,shredded lettuce,plant,LAT
25371,16231,shredded Monterey Jack cheese,dairy,LAT
25371,5588,salsa,plantproduct,LAT
70312,4397,onion,plant,LAT
70312,3725,jalapeno pepper,plant,LAT
70312,4342,garlic,spice,LAT
70312,16406,ground black pepper,spice,LAT
70312,20551,ground cumin,spice,LAT
139603,16396,garlic powder,spice,LAT
139603,20551,ground cumin,spice,LAT
139603,16403,dried oregano,spice,LAT
139603,16386,ground cinnamon,spice,LAT
139603,4183,pork shoulder,animal,LAT
139603,16380,bay leaf,spice,LAT
139603,16133,chicken broth,animal,LAT
13351,4397,onion,plant,LAT
13351,4342,garlic,spice,LAT
13351,6307,olive oil,condiment,LAT
13351,16385,chili powder,spice,LAT
13351,16403,dried oregano,spice,LAT
13351,4311,fresh corn kernel,plant,LAT
13351,4431,canned diced green chile peppers,plantproduct,LAT
13351,3717,fresh cilantro,spice,LAT
13351,5012,avocado,plant,LAT
13351,16231,shredded Monterey Jack cheese,dairy,LAT
13351,4405,green onion,spice,LAT
7399,1684,all-purpose flour,grain,LAT
7399,2356,baking powder,other,LAT
7399,16339,unsalted butter,dairy,LAT
7399,1526,white sugar,condiment,LAT
7399,16317,egg,animal,LAT
7399,16424,vanilla extract,plantproduct,LAT
7399,16294,sweetened condensed milk,dairy,LAT
7399,16347,evaporated milk,dairy,LAT
7399,16258,heavy whipping cream,dairy,LAT
7399,1526,white sugar,condiment,LAT
7399,16424,vanilla extract,plantproduct,LAT
61727,6305,vegetable oil,condiment,LAT
61727,16385,chili powder,spice,LAT
61727,4582,tomato sauce,plantproduct,LAT
61727,20551,ground cumin,spice,LAT
61727,16396,garlic powder,spice,LAT
157642,1684,all-purpose flour,grain,LAT
157642,2356,baking powder,other,LAT
157642,6281,lard,animal,LAT
70935,7842,white vinegar,condiment,LAT
70935,2882,soy sauce,condiment,LAT
70935,4342,garlic,spice,LAT
70935,5111,lime,plant,LAT
70935,6307,olive oil,condiment,LAT
70935,16406,ground black pepper,spice,LAT
70935,16396,garlic powder,spice,LAT
70935,16385,chili powder,spice,LAT
70935,16403,dried oregano,spice,LAT
70935,20551,ground cumin,spice,LAT
70935,16404,paprika,spice,LAT
70935,20270,white onion,plant,LAT
70935,3717,fresh cilantro,spice,LAT
70935,5112,lime juice,plantproduct,LAT
70935,4572,tomato,plant,LAT
70935,3725,jalapeno pepper,plant,LAT
70935,20270,white onion,plant,LAT
70935,4342,garlic,spice,LAT
70935,2351,corn tortilla,grain,LAT
70935,5111,lime,plant,LAT
73303,1650,white rice,grain,LAT
73303,6305,vegetable oil,condiment,LAT
73303,16133,chicken broth,animal,LAT
73303,4397,onion,plant,LAT
73303,4432,green bell pepper,plant,LAT
73303,3725,jalapeno pepper,plant,LAT
73303,4572,tomato,plant,LAT
73303,20551,ground cumin,spice,LAT
73303,3717,fresh cilantro,spice,LAT
73303,4342,garlic,spice,LAT
12745,5588,salsa,plantproduct,LAT
12745,5012,avocado,plant,LAT
12745,16261,sour cream,dairy,LAT
8818,4572,tomato,plant,LAT
8818,4397,onion,plant,LAT
8818,5111,lime,plant,LAT
8818,3717,fresh cilantro,spice,LAT
8818,3725,jalapeno pepper,plant,LAT
8818,6307,olive oil,condiment,LAT
