url - loc,cat_id,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6
https://www.allrecipes.com/recipes/86/world-cuisine/,86,world-cuisine,,,,,
https://www.allrecipes.com/recipes/226/world-cuisine/african/,226,world-cuisine,african,,,,
https://www.allrecipes.com/recipes/227/world-cuisine/asian/,227,world-cuisine,asian,,,,
https://www.allrecipes.com/recipes/228/world-cuisine/australian-and-new-zealander/,228,world-cuisine,australian-and-new-zealander,,,,
https://www.allrecipes.com/recipes/230/world-cuisine/latin-american/caribbean/,230,world-cuisine,latin-american,caribbean,,,
https://www.allrecipes.com/recipes/231/world-cuisine/european/,231,world-cuisine,european,,,,
https://www.allrecipes.com/recipes/233/world-cuisine/asian/indian/,233,world-cuisine,asian,indian,,,
https://www.allrecipes.com/recipes/235/world-cuisine/middle-eastern/,235,world-cuisine,middle-eastern,,,,
https://www.allrecipes.com/recipes/237/world-cuisine/latin-american/,237,world-cuisine,latin-american,,,,
https://www.allrecipes.com/recipes/695/world-cuisine/asian/chinese/,695,world-cuisine,asian,chinese,,,
https://www.allrecipes.com/recipes/696/world-cuisine/asian/filipino/,696,world-cuisine,asian,filipino,,,
https://www.allrecipes.com/recipes/698/world-cuisine/asian/indonesian/,698,world-cuisine,asian,indonesian,,,
https://www.allrecipes.com/recipes/699/world-cuisine/asian/japanese/,699,world-cuisine,asian,japanese,,,
https://www.allrecipes.com/recipes/700/world-cuisine/asian/korean/,700,world-cuisine,asian,korean,,,
https://www.allrecipes.com/recipes/701/world-cuisine/asian/malaysian/,701,world-cuisine,asian,malaysian,,,
https://www.allrecipes.com/recipes/702/world-cuisine/asian/thai/,702,world-cuisine,asian,thai,,,
https://www.allrecipes.com/recipes/703/world-cuisine/asian/vietnamese/,703,world-cuisine,asian,vietnamese,,,
https://www.allrecipes.com/recipes/704/world-cuisine/european/uk-and-ireland/,704,world-cuisine,european,uk-and-ireland,,,
https://www.allrecipes.com/recipes/705/world-cuisine/european/uk-and-ireland/english/,705,world-cuisine,european,uk-and-ireland,english,,
https://www.allrecipes.com/recipes/706/world-cuisine/european/uk-and-ireland/irish/,706,world-cuisine,european,uk-and-ireland,irish,,
https://www.allrecipes.com/recipes/707/world-cuisine/european/uk-and-ireland/scottish/,707,world-cuisine,european,uk-and-ireland,scottish,,
https://www.allrecipes.com/recipes/708/world-cuisine/european/uk-and-ireland/welsh/,708,world-cuisine,european,uk-and-ireland,welsh,,
https://www.allrecipes.com/recipes/709/world-cuisine/latin-american/caribbean/cuban/,709,world-cuisine,latin-american,caribbean,cuban,,
https://www.allrecipes.com/recipes/710/world-cuisine/latin-american/caribbean/jamaican/,710,world-cuisine,latin-american,caribbean,jamaican,,
https://www.allrecipes.com/recipes/711/world-cuisine/latin-american/caribbean/puerto-rican/,711,world-cuisine,latin-american,caribbean,puerto-rican,,
https://www.allrecipes.com/recipes/712/world-cuisine/european/eastern-european/,712,world-cuisine,european,eastern-european,,,
https://www.allrecipes.com/recipes/713/world-cuisine/european/eastern-european/czech/,713,world-cuisine,european,eastern-european,czech,,
https://www.allrecipes.com/recipes/714/world-cuisine/european/eastern-european/hungarian/,714,world-cuisine,european,eastern-european,hungarian,,
https://www.allrecipes.com/recipes/715/world-cuisine/european/eastern-european/polish/,715,world-cuisine,european,eastern-european,polish,,
https://www.allrecipes.com/recipes/716/world-cuisine/european/eastern-european/russian/,716,world-cuisine,european,eastern-european,russian,,
https://www.allrecipes.com/recipes/718/world-cuisine/european/austrian/,718,world-cuisine,european,austrian,,,
https://www.allrecipes.com/recipes/719/world-cuisine/european/belgian/,719,world-cuisine,european,belgian,,,
https://www.allrecipes.com/recipes/720/world-cuisine/european/dutch/,720,world-cuisine,european,dutch,,,
https://www.allrecipes.com/recipes/721/world-cuisine/european/french/,721,world-cuisine,european,french,,,
https://www.allrecipes.com/recipes/722/world-cuisine/european/german/,722,world-cuisine,european,german,,,
https://www.allrecipes.com/recipes/723/world-cuisine/european/italian/,723,world-cuisine,european,italian,,,
https://www.allrecipes.com/recipes/724/world-cuisine/european/portuguese/,724,world-cuisine,european,portuguese,,,
https://www.allrecipes.com/recipes/725/world-cuisine/european/scandinavian/,725,world-cuisine,european,scandinavian,,,
https://www.allrecipes.com/recipes/726/world-cuisine/european/spanish/,726,world-cuisine,european,spanish,,,
https://www.allrecipes.com/recipes/727/world-cuisine/european/swiss/,727,world-cuisine,european,swiss,,,
https://www.allrecipes.com/recipes/728/world-cuisine/latin-american/mexican/,728,world-cuisine,latin-american,mexican,,,
https://www.allrecipes.com/recipes/730/world-cuisine/latin-american/south-american/,730,world-cuisine,latin-american,south-american,,,
https://www.allrecipes.com/recipes/731/world-cuisine/european/greek/,731,world-cuisine,european,greek,,,
https://www.allrecipes.com/recipes/733/world-cuisine/canadian/,733,world-cuisine,canadian,,,,
https://www.allrecipes.com/recipes/1219/world-cuisine/latin-american/mexican/main-dishes/tacos/,1219,world-cuisine,latin-american,mexican,main-dishes,tacos,
https://www.allrecipes.com/recipes/1215/world-cuisine/latin-american/mexican/soups-and-stews/,1215,world-cuisine,latin-american,mexican,soups-and-stews,,
https://www.allrecipes.com/recipes/1220/world-cuisine/latin-american/mexican/main-dishes/fajitas/,1220,world-cuisine,latin-american,mexican,main-dishes,fajitas,
https://www.allrecipes.com/recipes/1218/world-cuisine/latin-american/mexican/main-dishes/enchiladas/,1218,world-cuisine,latin-american,mexican,main-dishes,enchiladas,
https://www.allrecipes.com/recipes/1216/world-cuisine/latin-american/mexican/main-dishes/burritos/,1216,world-cuisine,latin-american,mexican,main-dishes,burritos,
https://www.allrecipes.com/recipes/1277/world-cuisine/latin-american/south-american/chilean/,1277,world-cuisine,latin-american,south-american,chilean,,
https://www.allrecipes.com/recipes/1278/world-cuisine/latin-american/south-american/brazilian/,1278,world-cuisine,latin-american,south-american,brazilian,,
https://www.allrecipes.com/recipes/1283/world-cuisine/latin-american/mexican/main-dishes/fajitas/chicken/,1283,world-cuisine,latin-american,mexican,main-dishes,fajitas,chicken
https://www.allrecipes.com/recipes/1360/world-cuisine/european/italian/main-dishes/pork/,1360,world-cuisine,european,italian,main-dishes,pork,
https://www.allrecipes.com/recipes/1366/world-cuisine/european/italian/main-dishes/turkey/,1366,world-cuisine,european,italian,main-dishes,turkey,
